order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,total_fulfillment_time,prep_time_share,delivery_time_share,rating_given,rating_value,is_promoter,is_weekend,cost_band,customer_order_count,is_repeat_customer,restaurant_order_count,cuisine_order_count,cuisine_grouped,is_low_volume_restaurant
1478327,68551,Blue Ribbon Sushi Bar & Grill,Japanese,33.03,Weekend,Not given,33,20,53,0.623,0.377,False,,False,True,High,3,True,44,470,Japanese,False
1476820,152786,Cafe Habana,Mexican,31.38,Weekend,4,23,27,50,0.46,0.54,True,4.0,True,True,High,3,True,16,77,Mexican,False
1478121,62980,Westville Hudson,American,8.34,Weekday,Not given,22,26,48,0.458,0.542,False,,False,False,Low,1,False,15,584,American,False
1478077,82041,Shake Shack,American,33.03,Weekday,Not given,22,32,54,0.407,0.593,False,,False,False,High,7,True,219,584,American,False
1478359,361616,Blue Ribbon Brooklyn,American,24.2,Weekday,3,22,32,54,0.407,0.593,True,3.0,False,False,High,1,False,4,584,American,False
1476841,398426,RedFarm Broadway,Chinese,12.46,Weekend,4,24,20,44,0.545,0.455,True,4.0,True,True,Medium,1,False,59,215,Chinese,False
1477125,130820,Nobu Next Door,Japanese,15.86,Weekend,5,29,23,52,0.558,0.442,True,5.0,True,True,Medium,2,True,42,470,Japanese,False
1477915,200074,Osteria Morini,Italian,14.55,Weekend,Not given,34,22,56,0.607,0.393,False,,False,True,Medium,2,True,14,298,Italian,False
1477475,65009,Blue Ribbon Fried Chicken,American,32.93,Weekend,5,24,23,47,0.511,0.489,True,5.0,True,True,High,7,True,96,584,American,False
1477932,170221,Shake Shack,American,16.98,Weekend,Not given,22,21,43,0.512,0.488,False,,False,True,Medium,2,True,219,584,American,False
1476651,58092,Shake Shack,American,8.0,Weekend,5,27,23,50,0.54,0.46,True,5.0,True,True,Low,1,False,219,584,American,False
1477730,50616,Parm,Italian,13.05,Weekend,Not given,28,27,55,0.509,0.491,False,,False,True,Medium,1,False,68,298,Italian,False
1477518,133202,Sushi Samba,Japanese,29.05,Weekend,5,31,16,47,0.66,0.34,True,5.0,True,True,High,4,True,11,470,Japanese,False
1477821,277898,Haandi,Indian,5.67,Weekday,4,23,31,54,0.426,0.574,True,4.0,True,False,Low,4,True,2,73,Indian,True
1477104,77341,The Meatball Shop,Italian,16.93,Weekend,Not given,30,25,55,0.545,0.455,False,,False,True,Medium,1,False,132,298,Italian,False
1477921,97079,Benihana,Japanese,29.29,Weekend,5,20,18,38,0.526,0.474,True,5.0,True,True,High,6,True,5,470,Japanese,False
1477938,150002,The Kati Roll Company,Indian,16.15,Weekend,5,20,29,49,0.408,0.592,True,5.0,True,True,Medium,1,False,16,73,Indian,False
1476943,87472,RedFarm Hudson,Chinese,22.75,Weekend,Not given,31,30,61,0.508,0.492,False,,False,True,High,1,False,55,215,Chinese,False
1477581,231061,Han Dynasty,Chinese,13.34,Weekend,4,34,27,61,0.557,0.443,True,4.0,True,True,Medium,4,True,46,215,Chinese,False
1477975,56722,Shake Shack,American,9.75,Weekend,5,33,25,58,0.569,0.431,True,5.0,True,True,Low,3,True,219,584,American,False
1477601,107909,Cafeteria,American,6.69,Weekday,4,21,32,53,0.396,0.604,True,4.0,True,False,Low,6,True,9,584,American,False
1477790,133617,Shake Shack,American,4.75,Weekday,4,35,28,63,0.556,0.444,True,4.0,True,False,Low,1,False,219,584,American,False
1477385,67538,Chipotle Mexican Grill $1.99 Delivery,Mexican,12.56,Weekend,5,22,18,40,0.55,0.45,True,5.0,True,True,Medium,1,False,23,77,Mexican,False
1478423,129969,The Meatball Shop,Italian,21.2,Weekend,Not given,34,16,50,0.68,0.32,False,,False,True,High,2,True,132,298,Italian,False
1477051,57174,Tortaria,Mexican,19.31,Weekend,Not given,27,28,55,0.491,0.509,False,,False,True,Medium,1,False,4,77,Mexican,False
1476796,78939,Nobu Next Door,Japanese,16.3,Weekday,3,20,24,44,0.455,0.545,True,3.0,False,False,Medium,5,True,42,470,Japanese,False
1478031,309513,Otto Enoteca Pizzeria,Italian,13.05,Weekday,5,33,27,60,0.55,0.45,True,5.0,True,False,Medium,2,True,12,298,Italian,False
1477740,129798,TAO,Japanese,25.27,Weekday,4,24,24,48,0.5,0.5,True,4.0,True,False,High,3,True,49,470,Japanese,False
1478384,184085,Hill Country Fried Chicken,Southern,14.79,Weekend,5,35,15,50,0.7,0.3,True,5.0,True,True,Medium,2,True,14,17,Other,False
1478183,329710,Shake Shack,American,5.72,Weekday,3,31,24,55,0.564,0.436,True,3.0,False,False,Low,1,False,219,584,American,False
1477569,65009,Chote Nawab,Indian,16.15,Weekend,5,24,30,54,0.444,0.556,True,5.0,True,True,Medium,7,True,1,73,Indian,True
1478211,154030,RedFarm Hudson,Chinese,33.03,Weekend,4,26,22,48,0.542,0.458,True,4.0,True,True,High,2,True,55,215,Chinese,False
1476635,86731,Mission Cantina,Mexican,16.2,Weekend,5,31,18,49,0.633,0.367,True,5.0,True,True,Medium,2,True,5,77,Mexican,False
1477646,306119,Xi'an Famous Foods,Chinese,9.22,Weekday,Not given,31,32,63,0.492,0.508,False,,False,False,Low,3,True,9,215,Chinese,False
1477027,164016,Blue Ribbon Fried Chicken,American,16.39,Weekend,Not given,27,22,49,0.551,0.449,False,,False,True,Medium,3,True,96,584,American,False
1476921,121476,Blue Ribbon Fried Chicken,American,12.18,Weekday,3,29,27,56,0.518,0.482,True,3.0,False,False,Low,2,True,96,584,American,False
1476689,305522,Shake Shack,American,24.2,Weekday,4,29,29,58,0.5,0.5,True,4.0,True,False,High,1,False,219,584,American,False
1477767,68976,Sarabeth's East,American,17.03,Weekend,3,26,30,56,0.464,0.536,True,3.0,False,True,Medium,1,False,7,584,American,False
1476582,60703,Cafe Habana,Mexican,6.79,Weekday,Not given,33,25,58,0.569,0.431,False,,False,False,Low,1,False,16,77,Mexican,False
1478169,80460,Rubirosa,Italian,21.83,Weekend,3,30,27,57,0.526,0.474,True,3.0,False,True,High,1,False,37,298,Italian,False
1477702,128600,Blue Ribbon Fried Chicken,American,31.29,Weekday,Not given,22,33,55,0.4,0.6,False,,False,False,High,3,True,96,584,American,False
1477240,142356,Blue Ribbon Sushi,Japanese,11.83,Weekend,4,26,21,47,0.553,0.447,True,4.0,True,True,Low,4,True,119,470,Japanese,False
1476564,83287,Five Guys Burgers and Fries,American,24.3,Weekend,5,30,20,50,0.6,0.4,True,5.0,True,True,High,9,True,29,584,American,False
1478408,134152,The Meatball Shop,Italian,22.26,Weekend,Not given,28,25,53,0.528,0.472,False,,False,True,High,2,True,132,298,Italian,False
1477824,345899,TAO,Japanese,20.47,Weekend,4,26,30,56,0.464,0.536,True,4.0,True,True,High,1,False,49,470,Japanese,False
1477617,38050,Blue Ribbon Sushi,Japanese,12.18,Weekend,5,28,25,53,0.528,0.472,True,5.0,True,True,Low,2,True,119,470,Japanese,False
1477978,259341,Joe's Shanghai,Chinese,15.81,Weekend,5,20,26,46,0.435,0.565,True,5.0,True,True,Medium,7,True,4,215,Chinese,False
1477281,309513,Otto Enoteca Pizzeria,Italian,22.36,Weekend,5,26,27,53,0.491,0.509,True,5.0,True,True,High,2,True,12,298,Italian,False
1478223,234089,Blue Ribbon Sushi,Japanese,8.68,Weekend,5,34,27,61,0.557,0.443,True,5.0,True,True,Low,1,False,119,470,Japanese,False
1477364,125123,Shake Shack,American,21.83,Weekend,Not given,23,22,45,0.511,0.489,False,,False,True,High,5,True,219,584,American,False
1476715,365244,Bareburger,American,16.3,Weekday,Not given,20,28,48,0.417,0.583,False,,False,False,Medium,2,True,27,584,American,False
1476654,63020,The Odeon,American,12.9,Weekday,3,31,28,59,0.525,0.475,True,3.0,False,False,Medium,1,False,3,584,American,True
1477296,222879,Parm,Italian,29.15,Weekday,5,23,27,50,0.46,0.54,True,5.0,True,False,High,1,False,68,298,Italian,False
1478321,275535,Pongsri Thai,Thai,13.05,Weekday,4,31,24,55,0.564,0.436,True,4.0,True,False,Medium,1,False,2,19,Other,True
1477942,49793,Yama Japanese Restaurant,Japanese,22.36,Weekend,5,30,16,46,0.652,0.348,True,5.0,True,True,High,2,True,18,470,Japanese,False
1477552,137565,Shake Shack,American,31.29,Weekday,Not given,26,32,58,0.448,0.552,False,,False,False,High,3,True,219,584,American,False
1476770,65009,Blue Ribbon Fried Chicken,American,7.86,Weekday,4,22,33,55,0.4,0.6,True,4.0,True,False,Low,7,True,96,584,American,False
1476558,214394,Yama Japanese Restaurant,Japanese,16.1,Weekend,Not given,33,27,60,0.55,0.45,False,,False,True,Medium,1,False,18,470,Japanese,False
1477993,91907,Momoya,Japanese,16.98,Weekday,5,31,32,63,0.492,0.508,True,5.0,True,False,Medium,3,True,30,470,Japanese,False
1478072,82041,Osteria Morini,Italian,12.95,Weekend,5,26,28,54,0.481,0.519,True,5.0,True,True,Medium,7,True,14,298,Italian,False
1476935,59419,Blue Ribbon Fried Chicken,American,11.69,Weekend,5,21,24,45,0.467,0.533,True,5.0,True,True,Low,1,False,96,584,American,False
1477255,50199,Five Guys Burgers and Fries,American,12.13,Weekend,Not given,26,15,41,0.634,0.366,False,,False,True,Low,2,True,29,584,American,False
1477012,325210,The Meatball Shop,American,12.32,Weekend,Not given,31,19,50,0.62,0.38,False,,False,True,Medium,1,False,132,584,American,False
1477704,100999,Balthazar Boulangerie,French,12.13,Weekend,Not given,22,27,49,0.449,0.551,False,,False,True,Low,2,True,10,18,Other,False
1477188,146588,Sushi of Gari,Japanese,12.18,Weekday,5,25,24,49,0.51,0.49,True,5.0,True,False,Low,4,True,16,470,Japanese,False
1478348,310051,Parm,Italian,14.99,Weekend,Not given,34,24,58,0.586,0.414,False,,False,True,Medium,1,False,68,298,Italian,False
1477405,128243,The Meatball Shop,Italian,6.74,Weekend,5,26,30,56,0.464,0.536,True,5.0,True,True,Low,1,False,132,298,Italian,False
1476826,53543,Café China,Chinese,24.3,Weekend,Not given,20,23,43,0.465,0.535,False,,False,True,High,2,True,6,215,Chinese,False
1478340,230535,Shake Shack,American,10.38,Weekend,3,24,29,53,0.453,0.547,True,3.0,False,True,Low,1,False,219,584,American,False
1477044,127122,RedFarm Broadway,Chinese,6.79,Weekend,5,33,28,61,0.541,0.459,True,5.0,True,True,Low,2,True,59,215,Chinese,False
1476978,177250,RedFarm Hudson,Chinese,25.27,Weekend,Not given,34,28,62,0.548,0.452,False,,False,True,High,3,True,55,215,Chinese,False
1477287,111125,Otto Enoteca Pizzeria,Italian,14.99,Weekend,Not given,29,21,50,0.58,0.42,False,,False,True,Medium,2,True,12,298,Italian,False
1477110,144997,RedFarm Hudson,Chinese,29.05,Weekend,4,22,28,50,0.44,0.56,True,4.0,True,True,High,3,True,55,215,Chinese,False
1476555,97991,Blue Ribbon Sushi Bar & Grill,Japanese,9.65,Weekend,Not given,25,26,51,0.49,0.51,False,,False,True,Low,6,True,44,470,Japanese,False
1476862,58533,The Meatball Shop,Italian,29.2,Weekend,Not given,31,24,55,0.564,0.436,False,,False,True,High,1,False,132,298,Italian,False
1477117,104336,Nobu Next Door,Japanese,5.77,Weekday,4,29,24,53,0.547,0.453,True,4.0,True,False,Low,2,True,42,470,Japanese,False
1478402,232582,Café China,Chinese,32.93,Weekday,3,26,28,54,0.481,0.519,True,3.0,False,False,High,1,False,6,215,Chinese,False
1477431,195927,Boqueria,Spanish,12.13,Weekend,5,30,20,50,0.6,0.4,True,5.0,True,True,Low,3,True,9,12,Other,False
1477836,373689,Bareburger,American,12.08,Weekend,Not given,29,20,49,0.592,0.408,False,,False,True,Low,2,True,27,584,American,False
1477376,370372,Blue Ribbon Fried Chicken,American,11.59,Weekday,Not given,25,24,49,0.51,0.49,False,,False,False,Low,1,False,96,584,American,False
1476835,264707,TAO,Japanese,9.56,Weekend,5,21,17,38,0.553,0.447,True,5.0,True,True,Low,4,True,49,470,Japanese,False
1477177,42385,Song Thai Restaurant & Bar,Thai,24.2,Weekend,5,21,26,47,0.447,0.553,True,5.0,True,True,High,1,False,2,19,Other,True
1478174,104555,Sushi of Gari,Japanese,29.34,Weekday,Not given,32,25,57,0.561,0.439,False,,False,False,High,3,True,16,470,Japanese,False
1478269,250494,The Meatball Shop,Italian,11.16,Weekday,5,22,28,50,0.44,0.56,True,5.0,True,False,Low,8,True,132,298,Italian,False
1477369,139085,Shake Shack,American,24.25,Weekday,Not given,32,24,56,0.571,0.429,False,,False,False,High,1,False,219,584,American,False
1476969,198309,Blue Ribbon Sushi,Japanese,29.2,Weekend,Not given,22,25,47,0.468,0.532,False,,False,True,High,1,False,119,470,Japanese,False
1477420,399478,Shake Shack,American,14.07,Weekend,Not given,25,28,53,0.472,0.528,False,,False,True,Medium,1,False,219,584,American,False
1476663,40010,Parm,Italian,19.35,Weekend,4,35,19,54,0.648,0.352,True,4.0,True,True,Medium,2,True,68,298,Italian,False
1477904,48131,RedFarm Hudson,Chinese,16.1,Weekend,4,23,29,52,0.442,0.558,True,4.0,True,True,Medium,1,False,55,215,Chinese,False
1478219,41692,Shake Shack,American,22.8,Weekend,Not given,30,19,49,0.612,0.388,False,,False,True,High,1,False,219,584,American,False
1477206,61305,Blue Ribbon Sushi Bar & Grill,Japanese,15.23,Weekend,Not given,30,19,49,0.612,0.388,False,,False,True,Medium,1,False,44,470,Japanese,False
1477337,123780,Five Guys Burgers and Fries,American,33.03,Weekend,Not given,29,25,54,0.537,0.463,False,,False,True,High,1,False,29,584,American,False
1476809,385248,Shake Shack,American,12.95,Weekend,Not given,27,18,45,0.6,0.4,False,,False,True,Medium,1,False,219,584,American,False
1477750,97806,Shake Shack,American,16.49,Weekend,5,32,22,54,0.593,0.407,True,5.0,True,True,Medium,5,True,219,584,American,False
1476817,97079,Benihana,Japanese,29.05,Weekend,Not given,25,26,51,0.49,0.51,False,,False,True,High,6,True,5,470,Japanese,False
1476659,52463,RedFarm Broadway,Chinese,31.33,Weekend,3,33,23,56,0.589,0.411,True,3.0,False,True,High,2,True,59,215,Chinese,False
1477609,105068,TAO,Japanese,16.01,Weekend,Not given,26,16,42,0.619,0.381,False,,False,True,Medium,2,True,49,470,Japanese,False
1477616,128600,Tamarind TriBeCa,Indian,14.07,Weekend,4,26,21,47,0.553,0.447,True,4.0,True,True,Medium,3,True,27,73,Indian,False
1476769,71791,Sushi of Gari 46,Japanese,8.83,Weekday,Not given,31,33,64,0.484,0.516,False,,False,False,Low,1,False,37,470,Japanese,False
1477185,362068,The Kati Roll Company,Indian,33.03,Weekend,Not given,35,21,56,0.625,0.375,False,,False,True,High,1,False,16,73,Indian,False
1477752,298824,Shake Shack,American,16.25,Weekday,3,30,24,54,0.556,0.444,True,3.0,False,False,Medium,3,True,219,584,American,False
1477239,94524,The Meatball Shop,Italian,22.36,Weekend,4,28,18,46,0.609,0.391,True,4.0,True,True,High,2,True,132,298,Italian,False
1476590,342107,The Kati Roll Company,Indian,16.83,Weekend,4,26,20,46,0.565,0.435,True,4.0,True,True,Medium,2,True,16,73,Indian,False
1478305,62359,Rubirosa,Italian,8.0,Weekday,4,27,29,56,0.482,0.518,True,4.0,True,False,Low,5,True,37,298,Italian,False
1476751,347181,Blue Ribbon Sushi,Japanese,16.01,Weekend,Not given,29,22,51,0.569,0.431,False,,False,True,Medium,3,True,119,470,Japanese,False
1477831,60052,RedFarm Broadway,Chinese,16.01,Weekday,4,23,27,50,0.46,0.54,True,4.0,True,False,Medium,6,True,59,215,Chinese,False
1477955,198936,Five Leaves,American,10.24,Weekday,Not given,22,25,47,0.468,0.532,False,,False,False,Low,2,True,4,584,American,False
1476568,348787,Otto Enoteca Pizzeria,Italian,19.4,Weekday,4,32,28,60,0.533,0.467,True,4.0,True,False,High,2,True,12,298,Italian,False
1478391,184325,Pinto Nouveau Thai Bistro,Thai,19.35,Weekend,4,34,24,58,0.586,0.414,True,4.0,True,True,Medium,4,True,4,19,Other,False
1476725,42935,Barbounia,Mediterranean,13.97,Weekend,5,29,25,54,0.537,0.463,True,5.0,True,True,Medium,1,False,6,46,Mediterranean,False
1476688,200672,Cafe Mogador,Middle Eastern,13.0,Weekend,Not given,21,15,36,0.583,0.417,False,,False,True,Medium,1,False,18,49,Middle Eastern,False
1477102,75484,Five Guys Burgers and Fries,American,13.05,Weekend,Not given,34,27,61,0.557,0.443,False,,False,True,Medium,2,True,29,584,American,False
1476878,378027,RedFarm Broadway,Chinese,8.49,Weekend,Not given,24,16,40,0.6,0.4,False,,False,True,Low,2,True,59,215,Chinese,False
1476805,93133,Parm,Italian,22.8,Weekday,5,33,33,66,0.5,0.5,True,5.0,True,False,High,3,True,68,298,Italian,False
1478093,268958,Barbounia,Mediterranean,20.18,Weekend,5,29,19,48,0.604,0.396,True,5.0,True,True,High,3,True,6,46,Mediterranean,False
1478201,370017,RedFarm Broadway,Chinese,19.59,Weekend,5,24,19,43,0.558,0.442,True,5.0,True,True,High,1,False,59,215,Chinese,False
1478032,146586,Dirty Bird to Go,American,19.4,Weekend,4,25,19,44,0.568,0.432,True,4.0,True,True,High,1,False,4,584,American,False
1476606,350085,The Meatball Shop,Italian,17.03,Weekday,Not given,22,29,51,0.431,0.569,False,,False,False,Medium,1,False,132,298,Italian,False
1477570,292343,Amy Ruth's,Southern,16.11,Weekend,4,30,26,56,0.536,0.464,True,4.0,True,True,Medium,2,True,3,17,Other,True
1476808,84700,Pepe Giallo,Italian,14.6,Weekday,3,32,24,56,0.571,0.429,True,3.0,False,False,Medium,1,False,1,298,Italian,True
1476610,53212,TAO,Japanese,12.27,Weekday,Not given,26,29,55,0.473,0.527,False,,False,False,Medium,1,False,49,470,Japanese,False
1476875,373353,indikitch,Indian,22.26,Weekend,Not given,35,16,51,0.686,0.314,False,,False,True,High,1,False,4,73,Indian,False
1476829,79255,The Meatball Shop,Italian,6.79,Weekend,Not given,26,15,41,0.634,0.366,False,,False,True,Low,2,True,132,298,Italian,False
1477366,275689,Han Dynasty,Chinese,14.12,Weekend,4,35,19,54,0.648,0.352,True,4.0,True,True,Medium,6,True,46,215,Chinese,False
1477774,354719,The Meatball Shop,Italian,29.15,Weekend,5,34,20,54,0.63,0.37,True,5.0,True,True,High,3,True,132,298,Italian,False
1477209,17495,Prosperity Dumpling,Chinese,12.18,Weekday,Not given,26,24,50,0.52,0.48,False,,False,False,Low,1,False,3,215,Chinese,True
1478334,352247,Chipotle Mexican Grill $1.99 Delivery,Mexican,25.22,Weekend,4,27,22,49,0.551,0.449,True,4.0,True,True,High,1,False,23,77,Mexican,False
1477872,300670,Shake Shack,American,13.39,Weekend,Not given,30,22,52,0.577,0.423,False,,False,True,Medium,1,False,219,584,American,False
